id,group_concat(Wdkon_Zones.name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Z0407,Z0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Z0411,Z0412,Z0413,Z0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Z1892,Z1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Z1662,Z1668,Z1674,Z1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Z1666,Z1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Z0429,Z0430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Z0497,Z0498,Z0505,Z0553,Z0554,Z0555,Z1692,Z1794,Z1795,,,,,,,,,,,,,,,,,,,,,,,
396,Z0489,Z0490,Z0545,Z0546,Z0552,Z1398,Z1737,,,,,,,,,,,,,,,,,,,,,,,,,
398,Z0850,Z1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Z0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Z0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Z1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Z1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Z0024,Z0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Z1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Z0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Z0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Z0073,Z0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Z0920,Z1579,Z1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Z0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Z0188,Z1985,Z1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Z0021,Z0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Z0182,Z0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Z0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Z0234,Z0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Z0229,Z0230,Z0231,Z0232,Z0233,Z0239,Z0240,,,,,,,,,,,,,,,,,,,,,,,,,
436,Z0186,Z0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Z0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Z0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Z0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Z0136,Z0243,Z0244,Z0245,Z1970,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Z0072,Z0355,Z1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Z1243,Z1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Z1683,Z1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Z0071,Z1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Z0128,Z0129,Z0130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Z1213,Z1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Z0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Z1205,Z1207,Z1215,Z1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Z0206,Z1750,Z1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Z1218,Z1229,Z1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Z1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Z0236,Z0241,Z1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Z0038,Z0039,Z1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Z0177,Z0178,Z0179,Z0180,Z1978,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Z1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Z0213,Z0214,Z1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Z1172,Z1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Z1080,Z1204,Z1206,Z1210,Z1214,Z1217,Z1223,Z1355,Z1358,Z1360,Z1362,Z1686,,,,,,,,,,,,,,,,,,,,
464,Z0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Z0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Z0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Z0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Z0210,Z0211,Z0212,Z1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Z0137,Z0138,Z0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Z0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Z0217,Z0218,Z0219,Z1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Z0220,Z0221,Z1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Z0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Z0181,Z1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Z0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Z0172,Z0175,Z0176,Z1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Z0224,Z0225,Z0226,Z0227,Z0228,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Z1078,Z1211,Z1219,Z1221,Z1227,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Z1077,Z1212,Z1226,Z1228,Z1356,Z1357,Z1361,,,,,,,,,,,,,,,,,,,,,,,,,
501,Z1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Z0016,Z0017,Z0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Z1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Z0167,Z0168,Z0169,Z0170,Z0171,Z0173,Z0174,Z1233,Z1631,Z1632,,,,,,,,,,,,,,,,,,,,,,
525,Z0166,Z1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Z1231,Z1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Z1232,Z1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Z0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Z0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Z0223,Z1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Z0040,Z1442,Z1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
