InputID,MEAN,STDDEV,MIN,MAX
Z1681,165.29596,54.62162,46.81362,281.13065
Z1682,135.83901,56.20972,43.59631,246.44368
Z1683,167.21161,59.62782,0.55083,261.40697
Z1684,167.18578,59.74429,0.55083,261.93457
Z1685,204.48757,75.72286,30.08439,317.71497
Z1686,114.57509,52.84767,16.70164,230.58458
Z1687,97.66751,40.18587,27.63310,187.68741
Z1688,118.03607,40.37217,48.70901,188.07366
Z1689,181.54784,69.88515,46.27040,290.59784
Z1690,203.16676,71.53202,30.08439,316.54066
Z1691,95.33528,36.50086,17.36887,184.91953
Z1692,154.92500,76.04747,29.95065,288.20789
Z1693,113.64062,52.67077,11.93439,225.83949
Z1694,97.19905,43.26187,25.04590,196.18714
Z1695,154.31750,48.55795,56.08708,247.98358
Z1696,98.11030,37.39813,16.06277,175.66034
Z1697,116.39896,55.17373,19.32905,229.13718
Z1698,117.16416,59.52010,19.44753,247.27869
Z1699,118.27555,59.67079,31.28854,229.60358
Z1700,120.68383,56.36096,19.32905,229.91440
Z1701,126.73103,49.91914,26.56256,211.38370
Z1702,129.46984,46.64032,26.44002,212.49149
Z1703,164.42322,40.95832,70.35915,250.59649
Z1704,154.71916,42.58825,34.98345,241.39593
Z1706,130.49776,50.33445,12.21121,233.64872
Z1707,148.27644,60.83251,5.95093,247.68074
Z1708,142.82030,56.89953,22.84926,245.55659
Z1709,151.25110,62.55347,5.95093,253.82266
Z1710,152.94292,58.70474,18.74606,251.93737
Z1711,132.62279,52.69648,12.21121,233.07383
Z1712,133.52689,47.98696,31.70311,223.74991
Z1713,153.75781,49.23157,59.75315,237.94628
Z1714,97.37547,34.94336,16.46858,170.59413
Z1716,154.54898,47.24069,37.24290,233.89480
Z1717,148.61646,55.93398,27.91913,265.60029
Z1718,183.81574,72.06907,25.84103,312.10118
Z1719,134.22851,47.54361,30.17441,231.40472
Z1720,149.72452,61.97404,27.91913,263.89091
Z1721,132.71081,48.23686,30.17441,234.00101
Z1722,145.74250,57.20296,35.42904,252.83612
Z1723,196.25010,80.95703,32.07359,345.82080
Z1724,162.19605,52.12045,39.40777,256.23511
Z1725,192.44456,93.59728,18.06842,343.81053
Z1726,119.47882,47.62151,34.58226,220.00918
Z1727,151.56806,68.63354,24.57468,279.22801
Z1728,134.22423,54.80634,26.86798,241.71262
Z1729,98.01946,31.77454,28.05445,160.29348
Z1730,104.36184,37.81659,27.98141,176.72967
Z1731,96.12267,38.26842,28.05445,180.92276
Z1732,105.90694,33.92984,34.20230,169.82147
Z1733,110.49461,38.60280,29.45709,185.26315
Z1734,128.75258,46.06556,33.72759,234.04258
Z1735,132.38532,46.82580,32.22555,236.42358
Z1736,117.01365,40.72716,29.45709,191.51095
Z1737,153.31429,63.77761,29.57875,268.01097
Z1738,136.06871,50.32423,28.00696,222.00496
Z1739,181.32756,49.18908,48.32989,286.31499
Z1740,162.64012,76.41772,22.38939,296.17225
Z1741,202.00928,63.64166,55.34613,306.74179
Z1742,198.83403,68.89113,55.34613,323.43337
Z1743,212.01942,87.49486,8.56538,396.58675
Z1744,145.23410,60.71118,13.74411,241.41470
Z1745,182.83381,77.90045,22.95779,353.95647
Z1746,173.65567,68.35355,35.76463,302.57897
Z1747,156.79818,57.93519,31.61572,264.50744
Z1748,238.00048,110.99430,20.99071,410.38290
Z1749,184.17966,99.39476,16.69127,376.79255
Z1750,211.41541,100.34220,27.94651,388.76590
Z1751,208.12876,104.41963,27.94651,398.89215
Z1752,236.77756,100.11272,42.37362,418.35787
Z1753,133.29597,38.59263,30.38492,200.24695
Z1754,146.15041,70.62727,22.04525,280.17558
Z1755,152.98535,56.38915,5.44572,261.37687
Z1756,151.67221,54.62596,29.13011,245.30643
Z1757,140.01743,51.10178,15.46340,233.19478
Z1758,138.86678,49.91458,15.46340,227.32812
Z1759,141.79610,56.44230,22.18389,236.14352
Z1760,144.27839,56.01922,7.24335,238.52300
Z1761,125.69634,42.18957,35.96358,208.72580
Z1762,102.07769,34.81993,13.91266,172.50874
Z1763,110.25968,52.23632,15.79244,205.42642
Z1764,118.44526,48.82660,11.70713,216.88661
Z1765,104.85872,44.38556,13.93361,173.84140
Z1766,127.13704,55.52487,18.11349,220.16232
Z1767,92.59264,37.50343,16.64025,163.59174
Z1768,122.65733,55.20304,15.67265,220.29722
Z1769,135.92769,56.27717,20.05598,237.85041
Z1770,192.37234,73.20381,12.89071,321.87631
Z1771,196.21966,72.16182,26.79486,306.67506
Z1772,137.71685,57.05573,7.39899,247.06143
Z1773,140.84538,55.72197,10.44178,258.73837
Z1774,147.32666,66.63256,4.88092,270.87892
Z1775,147.89849,67.34362,4.88092,274.19699
Z1776,127.93453,50.55972,11.28246,229.84675
Z1777,122.79286,53.27331,26.79247,218.06250
Z1778,125.01309,51.40843,10.66306,227.45905
Z1779,121.64140,51.88516,1.96930,235.82516
Z1780,131.89308,50.77044,17.38599,219.90238
Z1781,181.05025,56.12428,53.40290,283.69150
Z1782,189.09008,74.67727,38.25657,316.47131
Z1783,188.13142,69.37602,38.25657,313.59149
Z1784,140.19183,59.96432,13.70416,254.46484
Z1785,155.51999,61.44672,19.77939,259.20143
Z1786,143.07680,52.07582,39.62221,231.35648
Z1787,163.11632,58.73655,32.87721,270.58592
Z1788,155.95682,53.77402,30.96277,272.74220
Z1789,159.89354,56.11145,31.39990,269.80137
Z1790,144.07840,63.13268,13.74411,238.17862
Z1791,244.48065,67.68720,16.28840,359.85446
Z1792,252.95208,68.72979,16.28840,362.73438
Z1793,195.49998,64.81864,28.91129,323.89006
Z1794,150.76658,81.13390,11.71091,281.86537
Z1795,147.87342,79.17101,13.59039,278.74507
Z1796,141.62314,54.29006,33.81180,252.20866
Z1797,155.20334,68.34778,15.75357,290.41182
Z1800,111.01706,55.95345,19.65098,213.29323
Z1801,111.68869,42.87377,27.00738,195.92000
Z1802,116.08733,46.69568,29.52429,199.47132
Z1804,124.29112,56.40381,5.20503,230.68400
Z1805,124.11031,55.23294,5.20503,219.76817
Z1806,152.08921,48.89067,12.85870,239.67698
Z1807,134.27034,55.68227,15.34334,226.55720
Z1808,132.83071,55.99129,15.34334,222.47054
Z1809,187.28681,68.49160,38.70605,296.54177
Z1810,134.75816,45.67560,42.43460,215.78581
Z1811,157.22073,52.30124,41.62307,243.58962
Z1812,124.53933,63.65976,20.19775,236.72975
Z1813,114.07808,50.09205,17.44923,219.99026
Z1814,117.39728,47.18840,21.39438,210.38644
Z1815,111.38403,50.29858,17.44923,197.20126
Z1816,111.75120,54.64847,8.27809,217.85873
Z1817,112.31786,54.95338,8.27809,217.07786
Z1818,124.14241,41.91468,21.03883,190.89859
Z1819,123.58047,49.64290,11.98122,204.15292
Z1820,118.59744,53.49650,24.62435,214.81231
Z1821,191.12759,63.68895,22.96447,286.89296
