,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0470_Z0471,174,"['Z0470', 'Z0471']","['Residential', 'Residential']",294.6693252869,48,"[0.3958333333333333, 0.6041666666666666]",16,"[0.4375, 0.5625]",2,33,67.923,17920
Z0470_Z0472,174,"['Z0470', 'Z0472']","['Residential', 'Residential']",320.1802568255,52,"[0.36538461538461536, 0.6346153846153846]",21,"[0.3333333333333333, 0.6666666666666666]",2,45,94.363,19280
Z0470_Z0502,174,"['Z0470', 'Z0502']","['Residential', 'Residential']",334.3174323572,54,"[0.35185185185185186, 0.6481481481481481]",30,"[0.23333333333333334, 0.7666666666666667]",3,64,59.129999999999995,19960
Z0470_Z1401,174,"['Z0470', 'Z1401']","['Residential', 'Residential']",353.4463046222,58,"[0.3275862068965517, 0.6724137931034483]",19,"[0.3684210526315789, 0.631578947368421]",3,39,80.225,21320
Z0470_Z1402,174,"['Z0470', 'Z1402']","['Residential', 'Residential']",339.9821387306,55,"[0.34545454545454546, 0.6545454545454545]",20,"[0.35, 0.65]",2,43,88.993,20300
Z0470_Z1539,174,"['Z0470', 'Z1539']","['Residential', 'Residential']",190.1033223023,30,"[0.6333333333333333, 0.36666666666666664]",23,"[0.30434782608695654, 0.6956521739130435]",2,49,60.321,11800
Z0471_Z0438_Z0469_Z0472_Z0502_Z1539,174,"['Z0471', 'Z0438', 'Z0469', 'Z0472', 'Z0502', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential', 'Residential', 'Residential']",1146.6402359449,187,"[0.15508021390374332, 0.22459893048128343, 0.19786096256684493, 0.17647058823529413, 0.18716577540106952, 0.058823529411764705]",76,"[0.11842105263157894, 0.013157894736842105, 0.17105263157894737, 0.18421052631578946, 0.3026315789473684, 0.21052631578947367]",7,198,297.038,57500
Z0471_Z0438_Z0469_Z0472_Z0502,174,"['Z0471', 'Z0438', 'Z0469', 'Z0472', 'Z0502']","['Residential', 'Commercial', 'Residential', 'Residential', 'Residential']",1075.1121821976,176,"[0.16477272727272727, 0.23863636363636365, 0.21022727272727273, 0.1875, 0.19886363636363635]",60,"[0.15, 0.016666666666666666, 0.21666666666666667, 0.23333333333333334, 0.38333333333333336]",6,164,267.761,54200
Z0471_Z0438_Z0469_Z0472_Z1539,174,"['Z0471', 'Z0438', 'Z0469', 'Z0472', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential', 'Residential']",930.8980721427,152,"[0.19078947368421054, 0.27631578947368424, 0.24342105263157895, 0.21710526315789475, 0.07236842105263158]",53,"[0.16981132075471697, 0.018867924528301886, 0.24528301886792453, 0.2641509433962264, 0.3018867924528302]",5,149,268.952,47000
Z0471_Z0438_Z0469_Z0502_Z1539,174,"['Z0471', 'Z0438', 'Z0469', 'Z0502', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential', 'Residential']",945.0352476744,154,"[0.18831168831168832, 0.2727272727272727, 0.24025974025974026, 0.22727272727272727, 0.07142857142857142]",62,"[0.14516129032258066, 0.016129032258064516, 0.20967741935483872, 0.3709677419354839, 0.25806451612903225]",6,168,233.719,47600
Z0471_Z0438_Z0472_Z0502_Z1539,174,"['Z0471', 'Z0438', 'Z0472', 'Z0502', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential', 'Residential']",921.5278109958,150,"[0.19333333333333333, 0.28, 0.22, 0.23333333333333334, 0.07333333333333333]",63,"[0.14285714285714285, 0.015873015873015872, 0.2222222222222222, 0.36507936507936506, 0.25396825396825395]",6,170,238.11900000000003,46400
Z0471_Z0438_Z0469_Z0472,174,"['Z0471', 'Z0438', 'Z0469', 'Z0472']","['Residential', 'Commercial', 'Residential', 'Residential']",859.3700183954,141,"[0.20567375886524822, 0.2978723404255319, 0.2624113475177305, 0.23404255319148937]",37,"[0.24324324324324326, 0.02702702702702703, 0.35135135135135137, 0.3783783783783784]",4,115,239.675,43700
Z0471_Z0438_Z0469_Z0502,174,"['Z0471', 'Z0438', 'Z0469', 'Z0502']","['Residential', 'Commercial', 'Residential', 'Residential']",873.5071939271,143,"[0.20279720279720279, 0.2937062937062937, 0.25874125874125875, 0.24475524475524477]",46,"[0.1956521739130435, 0.021739130434782608, 0.2826086956521739, 0.5]",5,134,204.442,44300
